build_id,agent_id,cpu_utilisation,memory_utilisation,busy_percentage,available_agents
BUILD-0001,agent-central-03,56.4,53.6,51.0,6
BUILD-0002,agent-west-02,62.7,75.2,65.2,3
BUILD-0003,agent-central-03,58.2,57.1,46.9,3
BUILD-0004,agent-central-02,49.7,51.9,75.1,3
BUILD-0005,agent-central-02,53.3,63.6,63.4,2
BUILD-0006,agent-west-03,60.2,53.5,66.0,6
BUILD-0007,agent-central-01,66.2,44.1,59.2,6
BUILD-0008,agent-west-02,70.1,75.6,90.6,0
BUILD-0009,agent-west-01,60.4,68.4,73.2,1
BUILD-0010,agent-central-01,38.2,56.3,59.6,2
BUILD-0011,agent-west-02,68.0,68.5,76.2,4
BUILD-0012,agent-east-01,80.1,68.5,91.2,0
BUILD-0013,agent-east-01,75.7,74.2,55.3,1
BUILD-0014,agent-central-01,88.6,88.8,95.6,1
BUILD-0015,agent-central-01,47.5,72.7,79.4,1
BUILD-0016,agent-central-02,65.7,61.6,71.4,3
BUILD-0017,agent-east-04,51.4,57.2,78.3,3
BUILD-0018,agent-central-03,94.9,85.0,98.2,0
BUILD-0019,agent-central-03,58.4,71.3,63.2,2
BUILD-0020,agent-west-03,71.6,52.1,56.2,4
BUILD-0021,agent-west-04,60.3,63.6,79.8,1
BUILD-0022,agent-east-03,87.7,87.5,95.6,0
BUILD-0023,agent-central-03,61.1,55.6,68.1,4
BUILD-0024,agent-central-03,39.5,51.5,46.4,5
BUILD-0025,agent-east-03,79.8,76.3,99.5,0
BUILD-0026,agent-west-02,62.0,64.1,47.9,2
BUILD-0027,agent-central-02,88.2,90.7,95.2,1
BUILD-0028,agent-central-02,74.0,63.6,68.9,2
BUILD-0029,agent-east-04,76.4,76.2,93.3,0
BUILD-0030,agent-east-02,67.4,60.8,53.0,4
BUILD-0031,agent-east-03,50.8,60.6,55.8,2
BUILD-0032,agent-central-01,54.4,50.7,60.4,2
BUILD-0033,agent-west-02,54.5,55.9,78.2,1
BUILD-0034,agent-east-02,60.5,56.5,65.9,3
BUILD-0035,agent-central-01,71.9,75.1,67.7,4
BUILD-0036,agent-east-02,62.1,65.4,68.5,4
BUILD-0037,agent-east-03,48.9,71.3,68.5,3
BUILD-0038,agent-central-02,91.6,90.3,91.7,1
BUILD-0039,agent-west-02,50.0,75.0,58.4,3
BUILD-0040,agent-west-01,73.1,72.1,65.3,3
BUILD-0041,agent-central-03,44.7,49.4,48.9,6
BUILD-0042,agent-central-01,50.4,47.2,59.8,2
BUILD-0043,agent-west-03,77.3,66.4,62.4,1
BUILD-0044,agent-central-01,75.0,57.1,66.2,2
BUILD-0045,agent-west-05,68.9,75.4,81.1,3
BUILD-0046,agent-west-03,52.3,49.8,77.2,3
BUILD-0047,agent-central-01,93.7,95.3,91.1,1
BUILD-0048,agent-central-02,67.0,41.3,54.0,3
BUILD-0049,agent-east-02,53.8,51.5,66.4,1
BUILD-0050,agent-central-03,49.2,65.5,70.8,3
BUILD-0051,agent-west-03,55.3,56.8,61.9,2
BUILD-0052,agent-west-01,55.3,50.9,68.7,2
BUILD-0053,agent-central-02,58.2,52.0,72.1,1
BUILD-0054,agent-central-02,61.9,57.7,58.0,4
BUILD-0055,agent-central-01,47.4,72.1,56.1,1
BUILD-0056,agent-west-05,72.9,54.8,70.9,1
BUILD-0057,agent-west-03,43.4,44.3,49.1,2
BUILD-0058,agent-west-04,64.5,57.9,57.0,4
BUILD-0059,agent-east-03,65.0,54.3,50.1,6
BUILD-0060,agent-central-02,65.3,49.7,65.9,6
BUILD-0061,agent-west-03,58.4,42.1,60.1,4
BUILD-0062,agent-central-03,71.0,62.2,69.6,1
BUILD-0063,agent-east-04,49.8,53.4,53.4,5
BUILD-0064,agent-east-04,82.8,69.3,97.6,0
BUILD-0065,agent-central-02,65.7,61.0,62.5,3
BUILD-0066,agent-east-02,71.8,68.6,96.4,0
BUILD-0067,agent-central-02,47.2,62.7,68.7,1
BUILD-0068,agent-west-04,86.8,93.5,93.0,1
BUILD-0069,agent-east-01,77.1,61.9,68.4,3
BUILD-0070,agent-central-02,56.6,49.2,78.5,3
BUILD-0071,agent-west-01,53.7,55.1,63.3,4
BUILD-0072,agent-central-03,43.6,51.2,71.9,4
BUILD-0073,agent-east-01,74.4,71.8,74.2,2
BUILD-0074,agent-central-01,80.8,72.9,97.7,0
BUILD-0075,agent-east-01,52.4,74.5,69.0,3
BUILD-0076,agent-east-02,79.8,76.5,94.2,0
BUILD-0077,agent-east-03,55.3,68.1,74.8,3
BUILD-0078,agent-east-01,51.3,52.5,81.9,4
BUILD-0079,agent-west-01,44.4,40.2,47.9,3
BUILD-0080,agent-central-02,67.2,49.8,66.5,4
BUILD-0081,agent-west-02,55.8,65.2,59.4,3
BUILD-0082,agent-east-03,70.6,64.2,74.5,4
BUILD-0083,agent-central-01,68.3,62.5,70.1,4
BUILD-0084,agent-east-04,87.5,92.4,92.2,1
BUILD-0085,agent-west-03,58.0,43.4,61.6,6
BUILD-0086,agent-east-02,44.5,47.1,46.6,2
BUILD-0087,agent-central-01,48.5,75.5,62.7,4
BUILD-0088,agent-west-03,40.8,61.4,69.2,5
BUILD-0089,agent-east-01,35.4,56.3,63.7,2
BUILD-0090,agent-east-02,57.3,67.7,79.6,2
BUILD-0091,agent-central-03,71.7,60.7,68.9,4
BUILD-0092,agent-east-03,74.3,67.7,91.4,0
BUILD-0093,agent-west-04,72.5,69.2,81.4,4
BUILD-0094,agent-central-03,64.7,67.7,56.3,1
BUILD-0095,agent-central-01,45.0,43.6,62.8,3
BUILD-0096,agent-east-02,73.6,68.4,98.6,0
BUILD-0097,agent-west-05,68.9,53.3,62.2,1
BUILD-0098,agent-east-04,45.6,47.1,57.6,4
BUILD-0099,agent-east-04,53.3,54.6,64.4,4
BUILD-0100,agent-east-04,79.6,65.9,90.3,0
BUILD-0101,agent-west-01,79.2,72.2,94.9,0
BUILD-0102,agent-central-01,61.2,42.0,70.9,5
BUILD-0103,agent-east-03,81.8,73.5,98.6,0
BUILD-0104,agent-west-02,62.1,60.5,70.1,4
BUILD-0105,agent-central-03,65.3,64.7,81.2,3
BUILD-0106,agent-central-02,55.9,58.5,53.6,2
BUILD-0107,agent-east-04,54.6,58.9,57.3,2
BUILD-0108,agent-central-01,58.8,52.4,61.7,5
BUILD-0109,agent-east-04,65.9,75.1,76.1,3
BUILD-0110,agent-east-03,48.5,52.5,62.1,3
BUILD-0111,agent-central-02,56.1,42.1,65.8,4
BUILD-0112,agent-central-03,92.0,88.2,98.1,0
BUILD-0113,agent-west-02,75.7,68.7,68.9,2
BUILD-0114,agent-central-01,78.7,77.0,95.4,0
BUILD-0115,agent-east-01,44.8,55.4,47.3,3
BUILD-0116,agent-east-01,53.3,52.2,48.8,4
BUILD-0117,agent-central-01,54.5,69.9,70.3,4
BUILD-0118,agent-central-02,85.0,71.7,93.5,0
BUILD-0119,agent-central-01,40.6,64.5,52.9,6
BUILD-0120,agent-west-01,54.1,46.7,56.2,5
BUILD-0121,agent-central-02,52.2,60.0,60.7,3
BUILD-0122,agent-west-05,77.7,60.0,81.9,2
BUILD-0123,agent-east-01,73.4,75.2,90.1,0
BUILD-0124,agent-west-02,66.2,67.0,56.8,1
BUILD-0125,agent-central-02,81.9,68.7,96.4,0
BUILD-0126,agent-central-03,51.3,42.8,58.5,6
BUILD-0127,agent-central-02,92.7,86.7,88.9,0
BUILD-0128,agent-west-05,69.4,51.3,74.1,1
BUILD-0129,agent-central-03,60.0,58.1,68.5,2
BUILD-0130,agent-east-01,61.5,57.9,62.7,3
BUILD-0131,agent-east-03,70.9,68.7,61.5,3
BUILD-0132,agent-west-05,80.9,66.6,95.3,0
BUILD-0133,agent-central-01,79.9,67.0,92.9,0
BUILD-0134,agent-west-03,49.0,52.4,73.5,1
BUILD-0135,agent-west-02,50.2,60.1,48.8,2
BUILD-0136,agent-west-02,61.7,43.1,70.4,2
BUILD-0137,agent-west-04,58.6,63.4,56.6,3
BUILD-0138,agent-east-02,70.4,74.0,90.3,0
BUILD-0139,agent-east-03,84.9,68.3,98.5,0
BUILD-0140,agent-east-02,45.2,52.3,47.4,3
BUILD-0141,agent-east-01,48.3,56.4,58.7,2
BUILD-0142,agent-west-03,67.8,64.1,45.9,6
BUILD-0143,agent-west-02,69.1,57.4,55.3,2
BUILD-0144,agent-central-02,78.7,76.4,92.3,0
BUILD-0145,agent-east-03,38.1,54.9,61.6,5
BUILD-0146,agent-central-03,56.9,60.0,63.0,4
BUILD-0147,agent-east-02,75.6,70.7,91.9,0
BUILD-0148,agent-east-03,62.7,60.5,56.3,6
BUILD-0149,agent-west-05,51.7,71.0,59.0,3
BUILD-0150,agent-west-01,70.9,72.3,78.8,4
BUILD-0151,agent-east-04,65.4,62.4,45.5,4
BUILD-0152,agent-east-01,92.6,91.3,89.9,0
BUILD-0153,agent-east-01,86.6,94.4,96.6,0
BUILD-0154,agent-central-02,66.2,59.9,65.2,3
BUILD-0155,agent-east-03,74.2,74.8,99.5,0
BUILD-0156,agent-east-02,51.3,68.3,61.0,4
BUILD-0157,agent-east-02,74.3,58.4,70.8,4
BUILD-0158,agent-central-02,49.7,72.1,59.9,1
BUILD-0159,agent-east-03,75.7,65.6,92.0,0
BUILD-0160,agent-west-05,44.6,58.2,61.1,4
BUILD-0161,agent-west-03,89.2,90.9,88.5,0
BUILD-0162,agent-east-01,76.3,78.5,95.1,0
BUILD-0163,agent-east-01,45.4,50.5,58.0,4
BUILD-0164,agent-west-01,74.4,77.0,93.1,0
BUILD-0165,agent-east-01,66.4,70.3,58.1,1
BUILD-0166,agent-east-04,63.7,53.1,65.1,6
BUILD-0167,agent-west-03,65.2,48.3,80.2,4
BUILD-0168,agent-west-04,58.3,49.0,69.8,1
BUILD-0169,agent-west-03,70.1,54.2,64.2,3
BUILD-0170,agent-central-01,46.5,65.7,73.1,1
BUILD-0171,agent-central-02,48.8,55.2,63.7,3
BUILD-0172,agent-east-03,49.4,67.9,81.3,2
BUILD-0173,agent-central-03,41.6,58.8,49.3,4
BUILD-0174,agent-east-03,56.9,63.2,55.5,4
BUILD-0175,agent-east-02,72.8,67.6,95.1,0
BUILD-0176,agent-east-03,62.8,47.5,66.3,6
BUILD-0177,agent-east-02,95.4,92.1,89.3,1
BUILD-0178,agent-east-01,76.7,65.7,99.0,0
BUILD-0179,agent-east-01,49.4,60.4,46.9,3
BUILD-0180,agent-central-01,57.2,53.4,62.3,6
BUILD-0181,agent-west-01,77.1,73.0,91.4,0
BUILD-0182,agent-west-03,93.7,87.8,89.3,0
BUILD-0183,agent-central-02,55.8,66.5,73.7,2
BUILD-0184,agent-central-02,50.3,49.0,53.2,6
BUILD-0185,agent-east-03,53.6,73.0,69.6,2
BUILD-0186,agent-east-02,49.8,68.5,80.4,1
BUILD-0187,agent-west-01,44.0,58.5,60.6,6
BUILD-0188,agent-east-03,72.1,67.5,90.8,0
BUILD-0189,agent-east-02,56.4,50.3,51.6,3
BUILD-0190,agent-central-03,76.3,54.1,71.4,4
BUILD-0191,agent-east-02,80.3,77.4,96.1,0
BUILD-0192,agent-central-03,60.9,69.5,64.5,1
BUILD-0193,agent-east-02,98.4,89.4,90.2,1
BUILD-0194,agent-east-03,91.9,91.6,89.0,1
BUILD-0195,agent-east-04,89.0,85.0,89.7,1
BUILD-0196,agent-east-04,78.6,68.9,94.1,0
BUILD-0197,agent-central-02,89.9,95.5,93.7,0
BUILD-0198,agent-east-04,77.5,68.0,97.4,0
BUILD-0199,agent-east-02,74.6,72.7,70.5,3
BUILD-0200,agent-east-04,39.0,53.0,53.5,2
BUILD-0201,agent-central-03,48.8,58.8,54.9,5
BUILD-0202,agent-central-03,58.9,51.8,79.1,3
BUILD-0203,agent-east-04,53.4,60.3,54.3,5
BUILD-0204,agent-east-02,89.6,87.9,95.1,1
BUILD-0205,agent-west-05,50.5,50.9,56.7,4
BUILD-0206,agent-east-01,40.6,40.9,54.6,4
BUILD-0207,agent-central-03,48.0,56.6,66.1,2
BUILD-0208,agent-east-03,43.2,57.9,62.4,5
BUILD-0209,agent-east-02,79.3,67.8,90.2,0
BUILD-0210,agent-west-02,86.7,93.5,88.8,1
BUILD-0211,agent-east-04,55.3,57.0,72.0,1
BUILD-0212,agent-central-02,77.0,64.3,73.7,2
BUILD-0213,agent-west-02,56.5,73.0,74.8,1
