build_id,organisation_id,project_id,build_status,start_time,end_time,total_duration_seconds,queue_time_seconds,agent_id
BUILD-0001,Org_B,claims-ingestion-pipeline,SUCCESS,2026-08-01T08:21:00,2026-08-01T08:26:18,303.99,14.39,agent-central-03
BUILD-0002,Org_C,flight-telemetry-ingest,SUCCESS,2026-08-01T08:49:00,2026-08-01T08:57:17,475.23,22.66,agent-west-02
BUILD-0003,Org_B,provider-directory,SUCCESS,2026-08-01T09:09:00,2026-08-01T09:13:58,281.39,17.18,agent-central-03
BUILD-0004,Org_B,hipaa-compliance-scan,SUCCESS,2026-08-01T09:32:00,2026-08-01T09:42:42,554.29,88.16,agent-central-02
BUILD-0005,Org_B,ehr-bridge,FAILED,2026-08-01T09:55:00,2026-08-01T10:00:52,325.5,26.73,agent-central-02
BUILD-0006,Org_C,cargo-manifest-service,SUCCESS,2026-08-01T10:07:00,2026-08-01T10:10:05,178.7,6.85,agent-west-03
BUILD-0007,Org_B,ehr-bridge,SUCCESS,2026-08-01T10:35:00,2026-08-01T10:39:37,257.21,20.65,agent-central-01
BUILD-0008,Org_C,safety-audit-service,SUCCESS,2026-08-01T10:52:00,2026-08-01T11:03:00,267.77,392.86,agent-west-02
BUILD-0009,Org_C,cargo-manifest-service,SUCCESS,2026-08-01T11:13:00,2026-08-01T11:21:21,488.78,13.13,agent-west-01
BUILD-0010,Org_B,provider-directory,SUCCESS,2026-08-01T11:36:00,2026-08-01T11:39:57,218.9,18.62,agent-central-01
BUILD-0011,Org_C,flight-telemetry-ingest,SUCCESS,2026-08-01T11:59:00,2026-08-01T12:05:54,406.47,8.0,agent-west-02
BUILD-0012,Org_A,payment-clearing-engine,SUCCESS,2026-08-01T12:28:00,2026-08-01T12:39:18,258.95,419.86,agent-east-01
BUILD-0013,Org_A,mobile-banking-api,SUCCESS,2026-08-01T12:42:00,2026-08-01T12:50:41,459.95,61.14,agent-east-01
BUILD-0014,Org_B,provider-directory,FAILED,2026-08-01T13:11:00,2026-08-01T13:20:10,495.79,55.18,agent-central-01
BUILD-0015,Org_B,claims-ingestion-pipeline,SUCCESS,2026-08-01T13:30:00,2026-08-01T13:38:15,426.59,69.14,agent-central-01
BUILD-0016,Org_B,hipaa-compliance-scan,SUCCESS,2026-08-01T13:53:00,2026-08-01T13:55:48,162.7,5.75,agent-central-02
BUILD-0017,Org_A,fraud-detection-service,SUCCESS,2026-08-01T14:14:00,2026-08-01T14:28:32,858.52,14.1,agent-east-04
BUILD-0018,Org_B,ehr-bridge,FAILED,2026-08-01T14:36:00,2026-08-01T14:42:29,314.12,75.54,agent-central-03
BUILD-0019,Org_B,provider-directory,SUCCESS,2026-08-01T14:59:00,2026-08-01T15:07:42,514.52,8.0,agent-central-03
BUILD-0020,Org_C,safety-audit-service,SUCCESS,2026-08-01T15:24:00,2026-08-01T15:29:47,303.57,43.73,agent-west-03
BUILD-0021,Org_C,flight-telemetry-ingest,SUCCESS,2026-08-01T15:44:00,2026-08-01T15:53:51,583.31,8.0,agent-west-04
BUILD-0022,Org_A,customer-portal,SUCCESS,2026-08-01T16:00:00,2026-08-01T16:09:39,513.85,65.26,agent-east-03
BUILD-0023,Org_B,provider-directory,SUCCESS,2026-08-01T16:26:00,2026-08-01T16:36:48,553.2,95.55,agent-central-03
BUILD-0024,Org_B,ehr-bridge,SUCCESS,2026-08-01T16:48:00,2026-08-01T16:52:53,281.9,11.16,agent-central-03
BUILD-0025,Org_A,fraud-detection-service,SUCCESS,2026-08-01T17:08:00,2026-08-01T17:24:21,302.42,678.75,agent-east-03
BUILD-0026,Org_C,safety-audit-service,SUCCESS,2026-08-01T17:31:00,2026-08-01T17:36:10,302.05,8.9,agent-west-02
BUILD-0027,Org_B,ehr-bridge,SUCCESS,2026-08-01T17:56:00,2026-08-01T18:05:38,552.88,25.36,agent-central-02
BUILD-0028,Org_B,provider-directory,SUCCESS,2026-08-01T18:12:00,2026-08-01T18:22:58,634.28,24.06,agent-central-02
BUILD-0029,Org_A,customer-portal,SUCCESS,2026-08-01T18:40:00,2026-08-01T18:54:22,318.2,544.3,agent-east-04
BUILD-0030,Org_A,fraud-detection-service,SUCCESS,2026-08-01T18:57:00,2026-08-01T18:59:05,96.57,29.21,agent-east-02
BUILD-0031,Org_A,payment-clearing-engine,SUCCESS,2026-08-01T19:26:00,2026-08-01T19:29:59,232.64,6.97,agent-east-03
BUILD-0032,Org_B,claims-ingestion-pipeline,SUCCESS,2026-08-01T19:48:00,2026-08-01T19:53:40,335.32,5.62,agent-central-01
BUILD-0033,Org_C,flight-telemetry-ingest,SUCCESS,2026-08-01T20:11:00,2026-08-01T20:17:12,233.58,138.62,agent-west-02
BUILD-0034,Org_A,fraud-detection-service,SUCCESS,2026-08-01T20:31:00,2026-08-01T20:38:43,431.32,31.84,agent-east-02
BUILD-0035,Org_B,ehr-bridge,SUCCESS,2026-08-01T20:50:00,2026-08-01T21:01:09,626.03,43.29,agent-central-01
