build_id,actual_bottleneck,severity
BUILD-0001,NORMAL,LOW
BUILD-0002,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0003,NORMAL,LOW
BUILD-0004,CACHE_PROBLEM,HIGH
BUILD-0005,NORMAL,LOW
BUILD-0006,NORMAL,LOW
BUILD-0007,NORMAL,LOW
BUILD-0008,QUEUE_CONGESTION,HIGH
BUILD-0009,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0010,NORMAL,LOW
BUILD-0011,PARALLELISATION_PROBLEM,HIGH
BUILD-0012,QUEUE_CONGESTION,HIGH
BUILD-0013,PARALLELISATION_PROBLEM,HIGH
BUILD-0014,RESOURCE_BOTTLENECK,CRITICAL
BUILD-0015,PARALLELISATION_PROBLEM,HIGH
BUILD-0016,NORMAL,LOW
BUILD-0017,SLOW_TASK,CRITICAL
BUILD-0018,RESOURCE_BOTTLENECK,HIGH
BUILD-0019,CACHE_PROBLEM,HIGH
BUILD-0020,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0021,PARALLELISATION_PROBLEM,HIGH
BUILD-0022,RESOURCE_BOTTLENECK,CRITICAL
BUILD-0023,CACHE_PROBLEM,MEDIUM
BUILD-0024,NORMAL,LOW
BUILD-0025,QUEUE_CONGESTION,HIGH
BUILD-0026,NORMAL,LOW
BUILD-0027,RESOURCE_BOTTLENECK,MEDIUM
BUILD-0028,SLOW_TASK,CRITICAL
BUILD-0029,QUEUE_CONGESTION,MEDIUM
BUILD-0030,NORMAL,LOW
BUILD-0031,NORMAL,LOW
BUILD-0032,NORMAL,LOW
BUILD-0033,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0034,PARALLELISATION_PROBLEM,HIGH
BUILD-0035,CACHE_PROBLEM,HIGH
BUILD-0036,CACHE_PROBLEM,HIGH
BUILD-0037,PARALLELISATION_PROBLEM,HIGH
BUILD-0038,RESOURCE_BOTTLENECK,MEDIUM
BUILD-0039,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0040,PARALLELISATION_PROBLEM,HIGH
BUILD-0041,NORMAL,LOW
BUILD-0042,NORMAL,LOW
BUILD-0043,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0044,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0045,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0046,PARALLELISATION_PROBLEM,HIGH
BUILD-0047,RESOURCE_BOTTLENECK,HIGH
BUILD-0048,NORMAL,LOW
BUILD-0049,SLOW_TASK,HIGH
BUILD-0050,CACHE_PROBLEM,HIGH
BUILD-0051,PARALLELISATION_PROBLEM,HIGH
BUILD-0052,SLOW_TASK,MEDIUM
BUILD-0053,SLOW_TASK,HIGH
BUILD-0054,CACHE_PROBLEM,MEDIUM
BUILD-0055,CACHE_PROBLEM,HIGH
BUILD-0056,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0057,NORMAL,LOW
BUILD-0058,PARALLELISATION_PROBLEM,HIGH
BUILD-0059,NORMAL,LOW
BUILD-0060,NORMAL,LOW
BUILD-0061,NORMAL,LOW
BUILD-0062,PARALLELISATION_PROBLEM,HIGH
BUILD-0063,NORMAL,LOW
BUILD-0064,QUEUE_CONGESTION,CRITICAL
BUILD-0065,NORMAL,LOW
BUILD-0066,QUEUE_CONGESTION,HIGH
BUILD-0067,CACHE_PROBLEM,MEDIUM
BUILD-0068,RESOURCE_BOTTLENECK,HIGH
BUILD-0069,CACHE_PROBLEM,MEDIUM
BUILD-0070,PARALLELISATION_PROBLEM,HIGH
BUILD-0071,NORMAL,LOW
BUILD-0072,NORMAL,LOW
BUILD-0073,PARALLELISATION_PROBLEM,HIGH
BUILD-0074,QUEUE_CONGESTION,MEDIUM
BUILD-0075,PARALLELISATION_PROBLEM,HIGH
BUILD-0076,QUEUE_CONGESTION,HIGH
BUILD-0077,PARALLELISATION_PROBLEM,HIGH
BUILD-0078,CACHE_PROBLEM,HIGH
BUILD-0079,NORMAL,LOW
BUILD-0080,NORMAL,LOW
BUILD-0081,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0082,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0083,SLOW_TASK,HIGH
BUILD-0084,RESOURCE_BOTTLENECK,HIGH
BUILD-0085,NORMAL,LOW
BUILD-0086,NORMAL,LOW
BUILD-0087,CACHE_PROBLEM,HIGH
BUILD-0088,NORMAL,LOW
BUILD-0089,NORMAL,LOW
BUILD-0090,PARALLELISATION_PROBLEM,HIGH
BUILD-0091,CACHE_PROBLEM,HIGH
BUILD-0092,QUEUE_CONGESTION,HIGH
BUILD-0093,CACHE_PROBLEM,HIGH
BUILD-0094,CACHE_PROBLEM,MEDIUM
BUILD-0095,NORMAL,LOW
BUILD-0096,QUEUE_CONGESTION,HIGH
BUILD-0097,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0098,NORMAL,LOW
BUILD-0099,NORMAL,LOW
