build_id,pipeline_id,task_name,task_category,task_duration_seconds,queue_time_seconds,cache_hits,cache_misses,cache_hit_rate,agent_utilisation_percent,number_of_tasks,failed_tasks,parallelizable_tasks,build_duration_seconds,build_status,bottleneck_label,bottleneck_type,severity
BUILD-1000,PIPE-ml,dependency_install_step_3,dependency_install,89.49,69.34,3,126,0.0233,0.4918,12,0,3,461.12,SUCCESS,1,LOW_CACHE_EFFICIENCY,MEDIUM
BUILD-1000,PIPE-api,unit_test_step_1,unit_test,89.66,33.58,189,15,0.9265,0.7226,13,0,0,462.81,SUCCESS,0,NONE,NONE
BUILD-1001,PIPE-worker,compile_step_2,compile,76.59,109.97,76,4,0.95,0.1717,9,0,0,393.57,SUCCESS,0,NONE,NONE
BUILD-1001,PIPE-auth,dependency_install_step_4,dependency_install,41.93,588.96,142,20,0.8765,0.6337,5,1,4,718.26,FAILED,0,NONE,NONE
BUILD-1001,PIPE-api,build_step_4,build,191.73,57.72,143,7,0.9533,0.3651,7,0,0,546.44,SUCCESS,0,NONE,LOW
BUILD-1002,PIPE-ml,dependency_install_step_2,dependency_install,29.85,648.93,192,9,0.9552,0.3041,17,0,0,877.64,SUCCESS,0,NONE,NONE
BUILD-1002,PIPE-worker,compile_step_2,compile,88.1,119.84,130,8,0.942,0.5003,10,0,3,459.32,SUCCESS,0,NONE,NONE
BUILD-1002,PIPE-auth,unit_test_step_4,unit_test,46.79,34.21,106,6,0.9464,0.5555,5,0,3,152.34,SUCCESS,0,NONE,NONE
BUILD-1003,PIPE-worker,integration_test_step_4,integration_test,154.19,63.55,0,0,1.0,0.1916,12,0,0,727.29,SUCCESS,0,NONE,NONE
BUILD-1003,PIPE-core,security_scan_step_3,security_scan,43.02,164.78,0,0,1.0,0.4809,8,0,0,303.7,SUCCESS,0,NONE,NONE
BUILD-1003,PIPE-web,package_step_2,package,12.38,117.31,0,0,1.0,0.9607,14,0,0,232.19,SUCCESS,0,NONE,NONE
BUILD-1004,PIPE-api,unit_test_step_1,unit_test,92.58,60.38,78,13,0.8571,0.6311,17,0,6,636.49,SUCCESS,0,NONE,NONE
BUILD-1004,PIPE-core,security_scan_step_1,security_scan,240.04,10.45,0,0,1.0,0.7009,6,0,0,544.73,SUCCESS,0,NONE,NONE
BUILD-1004,PIPE-auth,unit_test_step_2,unit_test,115.53,88.92,101,24,0.808,0.5858,14,0,0,682.83,SUCCESS,0,NONE,NONE
BUILD-1005,PIPE-api,checkout_step_1,checkout,27.03,13.44,0,0,1.0,0.5181,7,1,0,116.69,FAILED,0,NONE,LOW
BUILD-1005,PIPE-core,build_step_3,build,221.17,607.21,174,8,0.956,0.4603,15,0,0,1787.42,SUCCESS,1,QUEUE_BOTTLENECK,CRITICAL
BUILD-1005,PIPE-worker,lint_step_2,lint,16.61,321.92,140,15,0.9032,0.7901,17,0,0,443.6,SUCCESS,1,QUEUE_BOTTLENECK,HIGH
BUILD-1006,PIPE-core,checkout_step_3,checkout,11.09,19.62,0,0,1.0,0.9373,7,0,4,66.9,SUCCESS,1,AGENT_UTILISATION,MEDIUM
