build_id,task_name,duration_seconds,dependency_group,parallelisable
BUILD-0001,dependency_install,13.12,setup,False
BUILD-0001,package_build,18.34,package,False
BUILD-0001,security_scan,25.53,verification,True
BUILD-0001,deployment_validation,46.06,validate,False
BUILD-0001,unit_tests,86.72,test,True
BUILD-0001,compile,25.79,build,False
BUILD-0001,integration_tests,164.57,test,True
BUILD-0002,dependency_install,12.31,setup,False
BUILD-0002,deployment_validation,45.7,validate,False
BUILD-0002,integration_tests,202.04,test,False
BUILD-0002,package_build,38.57,package,False
BUILD-0002,compile,74.86,build,False
BUILD-0002,unit_tests,84.42,test,False
BUILD-0003,compile,25.36,build,False
BUILD-0003,unit_tests,103.52,test,True
BUILD-0003,dependency_install,21.8,setup,False
BUILD-0003,deployment_validation,42.37,validate,False
BUILD-0003,security_scan,24.95,verification,True
BUILD-0003,integration_tests,166.08,test,True
BUILD-0003,package_build,15.92,package,False
BUILD-0004,compile,154.71,build,False
BUILD-0004,package_build,101.94,package,False
BUILD-0004,unit_tests,80.44,test,True
BUILD-0004,dependency_install,86.5,setup,False
BUILD-0004,integration_tests,165.59,test,True
BUILD-0004,security_scan,175.4,verification,True
BUILD-0004,deployment_validation,38.62,validate,False
BUILD-0005,integration_tests,190.51,test,True
BUILD-0005,dependency_install,16.24,setup,False
BUILD-0005,package_build,12.36,package,False
BUILD-0005,security_scan,19.62,verification,True
BUILD-0005,deployment_validation,41.18,validate,False
BUILD-0005,unit_tests,105.52,test,True
BUILD-0005,compile,28.72,build,False
BUILD-0006,dependency_install,13.37,setup,False
BUILD-0006,package_build,13.34,package,False
BUILD-0006,unit_tests,106.03,test,True
BUILD-0006,compile,25.74,build,False
BUILD-0006,security_scan,19.55,verification,True
BUILD-0006,deployment_validation,34.72,validate,False
BUILD-0007,compile,29.36,build,False
BUILD-0007,dependency_install,42.4,setup,False
BUILD-0007,deployment_validation,35.94,validate,False
BUILD-0007,package_build,19.11,package,False
BUILD-0007,integration_tests,207.84,test,True
BUILD-0007,security_scan,27.92,verification,True
BUILD-0008,integration_tests,171.65,test,True
BUILD-0008,security_scan,33.07,verification,True
BUILD-0008,deployment_validation,45.85,validate,False
BUILD-0008,dependency_install,18.79,setup,False
BUILD-0008,package_build,21.87,package,False
BUILD-0008,unit_tests,79.23,test,True
BUILD-0009,compile,40.39,build,False
BUILD-0009,package_build,27.08,package,False
BUILD-0009,security_scan,31.16,verification,False
BUILD-0009,integration_tests,207.1,test,False
BUILD-0009,dependency_install,21.35,setup,False
BUILD-0009,deployment_validation,36.13,validate,False
BUILD-0009,unit_tests,100.15,test,False
BUILD-0010,compile,34.46,build,False
BUILD-0010,integration_tests,109.27,test,True
BUILD-0010,deployment_validation,44.93,validate,False
BUILD-0010,unit_tests,96.24,test,True
BUILD-0010,security_scan,23.4,verification,True
BUILD-0010,dependency_install,15.97,setup,False
BUILD-0011,compile,77.36,build,False
BUILD-0011,integration_tests,189.64,test,False
BUILD-0011,dependency_install,54.98,setup,False
BUILD-0011,package_build,20.75,package,False
BUILD-0011,deployment_validation,35.15,validate,False
BUILD-0012,dependency_install,48.38,setup,False
BUILD-0012,security_scan,36.97,verification,True
BUILD-0012,integration_tests,186.94,test,True
BUILD-0012,compile,37.7,build,False
BUILD-0012,deployment_validation,48.23,validate,False
BUILD-0013,compile,34.33,build,False
BUILD-0013,package_build,24.77,package,False
BUILD-0013,unit_tests,91.34,test,False
BUILD-0013,deployment_validation,37.79,validate,False
BUILD-0013,integration_tests,214.39,test,False
BUILD-0013,security_scan,30.12,verification,False
BUILD-0014,unit_tests,143.64,test,True
BUILD-0014,compile,95.9,build,False
